2021-01-23-16-12,235.4918,41.5
2021-01-23-19-10,235.4915,39
2021-01-23-20-25,235.4918,41.5
2021-01-23-20-44,235.4912,44
2021-01-23-20-59,235.49,41.5
2021-01-25-10-49,235.4924,80
2021-01-25-10-50,235.4961,70
2021-01-25-10-52,235.4995,47
2021-01-25-10-53,235.4968,17.5
2021-01-25-10-53,235.4983,49
2021-01-25-11-08,235.498,48.5
2021-01-25-11-09,235.4981,42.5
2021-01-25-11-10,235.4979,45
2021-01-27-16-49,236.09,42
2021-01-27-16-53,236.095,45.5
2021-01-27-16-59,236.06,40
2021-01-27-17-14,236.074,38.5
2021-01-27-21-15,236.171,14
2021-01-27-21-35,236.077,22.5
2021-01-28-15-27,236.07,1.5
2021-01-28-15-40,236.07,79.5
2021-01-28-16-15,237.32,0.5
2021-01-28-20-25,236.08,69
2021-01-28-20-30,238.98,78
2021-01-28-20-34,239.745,63.5
2021-01-28-20-40,239.745,38
2021-01-28-20-47,240.13,5
2021-01-28-20-52,239.745,49
2021-01-28-20-56,239.795,29
2021-01-28-21-01,239.74,64
2021-01-28-21-05,239.7478,37
2021-01-28-21-10,239.749,51.5
2021-01-28-21-15,239.7578,4.5
2021-01-28-21-20,239.7552,43.5
2021-01-29-10-35,239.73,94
2021-01-29-10-40,239.771,92.5
2021-01-29-10-43,239.87,81.5
2021-01-29-10-51,237.98,4
2021-01-29-10-55,239.96,4
2021-01-29-11-06,240.32,70.5
2021-01-29-11-13,239.758,59.5
2021-01-29-11-15,239.7515,42
2021-01-29-11-18,239.7565,54.5
2021-01-29-11-30,239.754,53.5
2021-01-29-11-34,239.7585,58.5
2021-01-29-11-42,239.7435,55.5
2021-01-29-14-16,239.755,43
2021-01-29-14-34,239.7542,24
2021-01-29-15-59,234.254685,74.5
2021-01-29-16-08,228.49037,60
2021-01-29-16-16,228.4775,47.5
2021-01-29-18-53,228.4905,53.5
2021-01-30-08-40,228.7425,2
2021-01-30-08-42,239.744,27.5
2021-01-30-08-55,239.779,90
2021-01-30-08-58,239.759,91.5
2021-01-30-09-14,239.7585,47.5
2021-01-30-11-30,239.7596,42
