180.72,98,99,100,99,100,690,742,726,763,737
180.91,99,99,100,99,99,716,710,725,740,705
181.035,97,100,100,99,99,715,690,685,740,691
181.57,98,6,99,99,100,780,44,728,667,735
182.455,98,100,100,100,99,691,694,732,734,698
183.395,99,100,99,99,99,723,687,723,745,690
184.495,98,100,99,98,99,716,691,730,733,715
184.955,99,100,100,99,100,729,759,696,683,722
185.405,98,99,100,100,99,681,712,710,693,685
185.425,98,98,100,100,100,690,727,697,738,705
185.69,98,99,100,98,100,690,684,747,740,754
186.57,98,100,100,99,99,686,719,740,717,696
186.985,99,100,100,100,99,738,708,657,700,762
187.335,98,99,100,99,100,726,713,734,769,804
187.58,99,99,98,99,100,678,704,642,715,658
187.62,99,98,98,100,100,698,704,648,717,721
189.265,99,97,99,100,100,702,671,707,669,726
189.705,99,99,98,99,100,743,697,731,743,753
191.425,99,100,100,100,100,695,709,764,713,746
192.96,99,99,99,100,100,748,727,749,751,757
193.735,99,100,100,100,100,720,740,765,741,721
194.545,97,100,99,97,99,666,729,717,678,691
194.635,98,100,100,98,100,747,758,748,702,733
196.035,98,98,99,100,100,668,703,661,704,702
197.505,98,97,100,99,99,692,690,725,728,696
198.975,99,99,100,99,98,727,746,776,722,715
202.51,99,99,100,99,99,709,739,729,717,705
204.16,99,98,100,99,100,703,692,677,674,763
205.22,99,99,100,100,99,706,673,755,703,676
209.89,99,99,98,100,100,630,689,633,673,707
209.955,97,99,100,100,100,673,630,647,668,667
210.32,97,99,99,100,98,651,666,626,711,663
210.395,98,99,99,99,97,671,686,686,691,647
210.4,100,100,99,100,99,669,689,729,694,750
211.25,98,99,100,100,100,664,704,702,681,666
211.425,96,99,100,100,100,664,719,705,660,721
212.135,99,100,98,99,100,714,711,687,713,749
214.54,98,99,99,98,99,710,701,695,672,675
214.975,99,100,100,98,99,683,645,651,677,680
215.01,98,97,98,98,100,692,626,726,730,726
216.69,98,100,98,96,99,706,705,662,653,701
217.45,98,100,100,100,100,679,623,675,652,677
217.5,99,100,99,100,99,658,691,669,708,740
217.805,99,98,99,98,98,681,662,700,667,673
219.725,97,100,99,98,100,697,680,667,699,687
220.305,99,100,100,98,100,676,745,699,726,690
221.59,98,99,98,99,99,707,752,718,707,701
225.95,99,100,96,100,100,745,681,664,707,696
227.125,98,99,98,99,100,672,699,724,689,709
229.16,95,99,98,100,100,666,698,695,704,706
231.45499999999998,98,99,98,100,98,688,690,686,715,720
231.925,97,98,98,99,100,671,671,644,639,720
232.49,99,98,100,100,99,737,702,675,683,644
234.175,99,99,100,99,99,714,662,687,704,785
234.2,98,100,99,98,98,667,692,730,707,712
235.495,99,99,99,97,100,728,733,703,681,675
237.04,99,100,99,100,97,693,670,702,685,719
239.75,98,97,100,99,99,704,700,681,730,710
240.895,97,100,100,99,100,671,713,694,726,675
242.415,99,100,99,98,99,724,700,687,720,701
245.07,98,100,100,99,98,688,745,687,685,733
245.65,99,98,98,100,98,726,674,732,694,659
245.995,98,100,90,97,97,701,700,599,720,682
248.0,100,100,99,99,100,716,777,702,719,720
252.20499999999998,99,100,98,98,100,722,688,708,727,699
252.485,98,100,99,100,99,719,749,730,728,723
252.73000000000002,99,100,99,100,100,714,731,687,736,706
253.425,99,98,100,99,99,735,753,757,714,719
254.19,98,99,100,97,100,729,743,713,685,705
255.85500000000002,3,98,99,100,99,31,684,694,673,665
256.49,96,100,99,99,100,651,710,713,660,683
256.92,99,98,100,100,99,696,656,675,662,684
257.05,98,100,98,99,100,672,658,694,686,662
258.59000000000003,99,99,91,98,100,734,716,647,692,704
259.52,98,100,100,99,100,671,681,752,643,747
260.03,100,99,99,97,99,742,646,692,691,686
261.77,100,100,100,99,100,740,672,680,712,692
262.4,99,100,1,99,100,723,642,6,717,658
262.64,98,100,98,98,99,706,666,652,642,617
262.65,100,100,100,98,98,674,667,644,674,652
262.98,97,100,99,100,100,643,667,641,659,655
